,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,States,Counties
38386,Wray (a),24338,Valid,H4-an,281.7,Found,1936.0,40.05,-102.2,"(40.05, -102.2)",9.0,1073.0
38387,Wray (b),24339,Valid,L5,3884.0,Found,1938.0,40.33083,-102.19583,"(40.33083, -102.19583)",9.0,1073.0
45673,Yelland 001,54765,Valid,L6,4.5,Found,2011.0,39.55801,-114.42715,"(39.55801, -114.42715)",10.0,2404.0
45674,Yelland Dry Lake,52641,Valid,H4,76000.0,Found,2007.0,39.35067,-114.40783,"(39.35067, -114.40783)",10.0,2404.0
45678,Yocemento,30364,Valid,L4,5920.0,Found,1966.0,38.9,-99.43333,"(38.9, -99.43333)",17.0,1944.0
45680,York (iron),30367,Valid,"Iron, IIIAB",835.0,Found,1878.0,40.75,-97.5,"(40.75, -97.5)",19.0,479.0
45681,York (stone),30368,Valid,L6,1440.0,Found,1928.0,40.86667,-97.6,"(40.86667, -97.6)",19.0,479.0
45682,Yorktown (Texas),30371,Valid,H5,3500.0,Found,1957.0,28.95,-97.40278,"(28.95, -97.40278)",23.0,3165.0
45686,Ysleta,30375,Valid,"Iron, ungrouped",140700.0,Found,1914.0,31.65,-106.18333,"(31.65, -106.18333)",23.0,3172.0
45687,Yucca 015,57175,Valid,H-metal,3.0,Found,2011.0,34.8197,-114.2761,"(34.8197, -114.2761)",7.0,8.0
45688,Yucca 016,57158,Valid,H5,25.9,Found,2011.0,34.82658,-114.27763,"(34.82658, -114.27763)",7.0,8.0
45689,Yucca 017,57159,Valid,H5,200.0,Found,2011.0,34.81923,-114.27735,"(34.81923, -114.27735)",7.0,8.0
45693,Zaffra,30383,Valid,"Iron, IAB-MG",3000.0,Found,1919.0,35.0,-94.75,"(35.0, -94.75)",20.0,2199.0
45698,Zapata County,30393,Valid,Iron,,Found,1930.0,27.0,-99.0,"(27.0, -99.0)",23.0,2967.0
45703,Zenda,30400,Valid,"Iron, IAB complex",3700.0,Found,1955.0,42.51333,-88.48944,"(42.51333, -88.48944)",41.0,886.0
45715,Zulu Queen,30414,Valid,L3.7,200.0,Found,1976.0,33.98333,-115.68333,"(33.98333, -115.68333)",8.0,1177.0
